Parides iphidamas
Parides lycimenes
Parides panares
Parides sp.
Parides sp.
Parides sp.
Parrhasius polibetes
Patia orise
Pedaliodes manis
Pedaliodes pausia
Pedaliodes pelinaea
Pedaliodes peucestas
Pedaliodes phaea
Pedaliodes plotina
Pedaliodes polla
Pedaliodes praxithea
Pedaliodes prosa
Pedaliodes sp.
Pedaliodes suspiro
Pereute callinira
Pereute charops
Perisama bonplandii
Perisama oppelii
Perisama sp.
Perisama yeba
Perophthalma tullius
Perrhybris malenka
Perrhybris pamela
Perrhybris sp.
Phanus vitreus
Pharneuptychia sp.
Philaethria dido
Phoebis agarithe
Phoebis agarithe
Phoebis argante
Phoebis argante
Phoebis neocypris
Phoebis neocypris
Phoebis philea
Phoebis philea
Phoebis rorata
Phoebis rurina
Phoebis sennae
Phoebis sennae
Phoebis sp.
Phoebis sp.
Phyciodes clio
Phyciodes clio
Phyciodes sp.
Phyciodes sp.
Pierella luna
Poanes sp.
Poanes sp.
Prepona demophon
Prepona dexamenus
Prepona laertes
Prepona pylene
Prepona sp.
Pronophila orcus
Pronophila sp.
Pronophila thelebe
Pronophila unifasciata
Proteides sp.
Proteides sp.
Protesilaus macrosilaus
Protesilaus molops
Protesilaus protesilaus
Protesilaus telesilaus
Protographium agesilaus
Protographium dioxippus
Protographium thyastes
Pseudipieris nehemia
Pseudolycaena marsyas
Pseudolycaena sp.
Pseudopieris nehemia
Pteronymia aletta
Pteronymia alissa
Pteronymia laura
Pteronymia  laura
Pteronymia zabina
Pterourus cacicus
Pterourus menatius
Pyrdalus corbulo
Pyrgus adepta
Pyrgus orcus
Pyrgus sp.
Pyrgus sp.
Pyrgus sp.
Pyrgus sp.
Pyrgus syrichtus
Pyrisitia isitia sp.
Pyrisitia isitia sp.
Pyrisitia leuce
Pyrisitia limbia
Pyrisitia limbia
Pyrisitia nise
Pyrisitia nise
Pyrisitia proterpia
Pyrisitia proterpia
Pyrisitia venusta
Pyrrhogyra
Pyrrhogyra crameri
Pyrrhogyra edocla
Pyrrhogyra otolais
Pyrrhopyge phidias
Pyrrhopyge sp.
Rekoa mento
Rekoa mento
Rekoa meton
Rekoa palegon
Rekoa palegon
Rekoa stagira
Rekoa stagira
Rethus arcius
Rhetus arcius
Rhetus dysonii
Rhetus periander
Rhetus sp.
Ridens sp.
Rothschildia
Rothschildia
Rothschildia
Rothschildia
Sais rosalia
Saliana antoninus
Sangala beata
Siderone galanthis
Siproeta epaphus
Siproeta epaphus
Siproeta sp
Siproeta sp
Siproeta stelenes
Siproeta stelenes
Smyrna blomfidia
Smyrna blomfidia
Smyrna blomfildia
Smyrna blomfildia
Sorata chrysus
Sostrata sp.
Sostrata sp.
Staphylus caribbea
Staphylus imperspicua
Staphylus imperspicua
Staphylus lizeri
Steremnia
Strephonota ericeta
Strephonota ericeta
Strephonota parvipuncta
Strephonota parvipuncta
Strephonota sphinx
Strephonota sphinx
Strephonota tephraeus
Strephonota tephraeus
Strymon albata
Strymon albata
Strymon bazochii
Strymon bazochii
Strymon bubastus
